Number,Questions,Option a,Option b,Option c,Option d,Correct Answer,Explanation,Level of Difficulty,Source,SUBJECT
1979,What is a key piece of advice for a client with a long history of polio?,Taking a hot bath will decrease stiffness,A schedule of strenuous exercise will improve muscle strength,Rest periods should be scheduled throughout the day,Visual disturbances can be corrected with glasses,c,"Many people who have had polio develop post-polio syndrome later in life, which is characterised by new muscle weakness, fatigue, and pain. A key management strategy is energy conservation, which involves pacing activities and scheduling regular rest periods.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
1980,"In a double-barrel colostomy, what is the proximal end?",The opening on the client's left side,The opening on the distal end on the client's left side,The opening on the client's right side that discharges faeces,The opening on the distal right side that discharges mucus,c,"A double-barrel stoma has two openings. The proximal stoma is the one connected to the functioning part of the bowel and will discharge stool. The distal stoma (or mucus fistula) is connected to the non-functioning, resting part of the bowel and will only discharge mucus.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
1981,A patient has 'cicatrix'. What is the common name for this?,A bruise.,A scar.,A blister.,A wart.,b,A cicatrix is the scar of a healed wound.,Hard,Original Question,
1982,A client with colour blindness will most likely have problems distinguishing which of the following colours?,Orange,Violet,Red and Green,White and Black,c,The most common form of colour blindness is red-green colour deficiency.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
1983,A client with glaucoma is prescribed miotic eye drops. What is the purpose of this medication?,To anesthetize the cornea,To dilate the pupils,To constrict the pupils,To paralyze the muscles of accommodation,c,"Glaucoma is a condition where pressure builds up inside the eye. Miotic drugs constrict the pupil (miosis). This helps to increase the drainage of aqueous humour from the eye, which in turn lowers the intraocular pressure.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
1984,What is the function of the lens in the eye?,The lens controls stimulation of the retina.,The lens orchestrates eye movement.,The lens focuses light rays on the retina.,The lens magnifies small objects.,c,"The lens is a clear, biconvex structure in the eye that, along with the cornea, helps to refract (bend) light to be focused on the retina, allowing us to see images clearly.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
1985,A client with cystic fibrosis is taking pancreatic enzymes. When should this medication be administered?,Once per day in the morning,Three times per day with meals,Once per day at bedtime,Four times per day,b,People with cystic fibrosis do not produce the enzymes needed to digest food. Pancreatic enzyme replacement therapy (PERT) must be taken with every meal and snack to help the body absorb fats and proteins.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
1986,A patient has a 'systolic murmur' heard on auscultation of their heart. What does this mean?,A heart murmur that is heard when the heart is contracting.,A heart murmur that is heard when the heart is relaxing.,A normal heart sound.,A sign of a heart attack.,a,Systole is the phase of the cardiac cycle when the heart muscle contracts and pumps blood. A murmur heard during this phase is a systolic murmur. It can be caused by conditions like aortic stenosis or mitral regurgitation.,Medium,Original Question,
1987,A patient is admitted with 'acute coronary syndrome' (ACS). What does this term encompass?,Stable angina only.,"A range of conditions associated with sudden, reduced blood flow to the heart, including unstable angina and myocardial infarction.",Heart failure only.,A heart rhythm problem only.,b,ACS is an umbrella term used to describe a situation where the blood supply to the heart muscle is suddenly blocked. It covers both heart attacks (STEMI and NSTEMI) and unstable angina.,Medium,Original Question,
1988,A patient has a 'pleural rub' heard on auscultation of their chest. What does this indicate?,Fluid in the lungs.,A narrowed airway.,Inflammation of the pleura (the lining of the lungs).,A collapsed lung.,c,A pleural friction rub is a grating or creaking sound caused by the two inflamed layers of the pleura rubbing together during breathing. It is a sign of pleurisy.,Hard,Original Question,
1989,You are caring for a patient who has been a victim of a serious assault. What is a key principle of 'trauma-informed care'?,To ask the patient to describe the assault in detail.,"To recognise that the experience of trauma can have a lasting effect and to create an environment of safety, trust, and collaboration.",To treat all patients as if they have experienced trauma.,To focus only on the patient's physical injuries.,b,"Trauma-informed care is a strengths-based framework that is grounded in an understanding of the impact of trauma. It emphasises physical, psychological, and emotional safety for both patients and providers. This is key to Prioritising People.",Medium,Original Question,
1990,A patient is prescribed a 'maintenance' dose of IV fluids. What is the purpose of this?,To replace a pre-existing fluid deficit.,To provide the daily requirement of water and electrolytes for a patient who cannot meet their needs orally.,To provide nutrition.,To correct an electrolyte imbalance.,b,Maintenance fluids are prescribed to meet a patient's normal daily requirements when they are unable to eat or drink. A typical prescription for an adult would be around 25-30 ml/kg/day of water.,Easy,Original Question,
